feature;Scratch_mean_shap;Scratch_mean_abs_shap;Scratch_rank;Asymmetric_PC_mean_shap;Asymmetric_PC_mean_abs_shap;Asymmetric_PC_rank;Causal_PC_mean_shap;Causal_PC_mean_abs_shap;Causal_PC_rank;Flow_PC_mean_shap;Flow_PC_mean_abs_shap;Flow_PC_rank;Asymmetric_LiNGAM_mean_shap;Asymmetric_LiNGAM_mean_abs_shap;Asymmetric_LiNGAM_rank;Causal_LiNGAM_mean_shap;Causal_LiNGAM_mean_abs_shap;Causal_LiNGAM_rank;Flow_LiNGAM_mean_shap;Flow_LiNGAM_mean_abs_shap;Flow_LiNGAM_rank;Asymmetric_True_mean_shap;Asymmetric_True_mean_abs_shap;Asymmetric_True_rank;Causal_True_mean_shap;Causal_True_mean_abs_shap;Causal_True_rank;Flow_True_mean_shap;Flow_True_mean_abs_shap;Flow_True_rank
X33;0,1903221701945724;1,4683323792618497;1;0,16708973226263743;1,4265872131364148;1;0,2008618329880746;1,623989208800774;2;0,5116148089838631;1,9919961887547972;1;0,2224177710312988;1,512387118037232;1;0,059730850799929194;0,8998364052268434;5;0,08116908668396228;0,2834574132173463;12;0,18918287014473584;1,5116776569111687;1;0,014084832185115219;0,5863535508253243;8;-0,005211364090274737;0,34785526575923015;16
X24;0,06055496875888299;1,4089028463775641;2;0,0613532903880379;1,3968883340241525;2;0,0714247908988182;2,1915812925821205;1;0,030613922885701975;1,8407577771985373;2;0,08526175756181771;1,3795260510114449;2;0,10764928541786595;2,6883729943749173;1;0,034597120179142314;1,8964362064880038;1;0,09322895324179876;1,3847983739844834;2;-0,029959310382388395;1,7211439432510647;1;-0,06533923168651945;0,5142570936986965;7
X47;0,015363943035819583;1,0830659951249582;3;0,0024610673131975403;1,1110615345781374;3;-0,092542976185972;0,5224476186301471;8;-0,04838763009708255;0,3821070017079029;13;0,026542158469805708;1,0757651392515668;3;0,0015165482526423156;1,428640760699214;2;-0,20151174548168488;1,6714296255285996;2;0,029099416396404357;1,0961044475700958;3;-0,09289089885951965;0,528351289039382;10;-0,03685356191322467;0,36186348347739083;14
X46;-0,21436060517698607;0,8656515722355355;4;-0,2033827133567968;0,8626345152498764;4;-0,1538713146683018;0,4097057371809415;13;0,010959642238825942;0,5620473813725794;7;-0,20792458655713833;0,8591348740412088;4;-0,22627672596223594;0,9368947343475452;4;0,005293201109773062;1,1942069785939409;3;-0,2064558892807735;0,8523845667891311;4;-0,14699133246003343;0,4447239356438557;14;-0,08762181911947803;0,5474432820363723;5
X7;-0,07993388992009108;0,7544059949648737;5;-0,02619499137796093;0,7407877779377557;6;-0,0746129243410813;0,3309771210369913;16;-0,05477799098601891;0,39472460695668316;12;-0,14314752110791937;0,7710906351392387;5;-0,06614979891776186;0,3333619730827141;12;-0,03265248808976146;0,23449167129873424;19;-0,11874172260769886;0,7578039024155174;5;-0,0844547312335486;0,44303241893493966;15;0,0036962702713900144;0,1236606658917806;32
X41;0,10859778409406473;0,7486993002117742;6;0,1479260980233664;0,7868099984485193;5;0,07777951402884101;0,3049634361172593;17;0,010275378819985113;0,2574448246750689;17;0,09800345290744909;0,73332848881625;6;0,1869947290935303;0,7432411976466433;6;0,07774278671263891;0,36651114138889646;9;0,12024071986005729;0,7489214818345589;6;0,06854308821582453;0,3043217585927653;20;0,03926065489071032;0,20177733884624297;22
X48;-0,12436252661982956;0,698299104861471;7;-0,11900229917381337;0,6951427854012421;7;-0,0009563258757309057;0,28971131533521866;19;-0,02381033486247378;0,45147635065972475;10;-0,13002528507642713;0,6914301455849483;7;-0,09001999960444619;0,597572503286571;7;-0,03353208559249321;0,876652123923698;4;-0,10760063517895936;0,6955637795456227;7;-0,032352713002619445;0,3173799807481948;19;-0,03564923910095855;0,36653454917593575;13
X39;0,06640768032418602;0,5741888179176315;8;0,07234477950863305;0,5801058055083392;8;0,06288939568811829;0,4224122696251774;12;0,018638136658178407;0,24907082905937603;19;0,06759210116874505;0,5783870504985169;8;0,02479687589968574;0,28244944450567055;14;0,013749057523189548;0,18106803462327523;24;0,056590240281807966;0,5814856735771169;8;0,027737425581346457;0,27695620377193525;21;0,029615455685908235;0,37551698634359765;12
X44;0,09585636642110117;0,5030050077852518;9;0,09931895374808032;0,49865257514326367;9;0,10313112915051616;0,5268835369632346;7;0,12599813381020658;0,7573248695735603;3;0,09779291315800868;0,5004143957247357;9;0,08091759833941949;0,5265675397963243;8;0,1325548254143265;0,7648785197782104;5;0,09541655345643006;0,49636731604883283;9;0,09022258679826406;0,6097387192081273;7;0,22593411341873448;1,0066831378926653;1
X6;0,058553773870923045;0,4563771789160219;10;0,04190108447657312;0,46136786501673965;10;0,07944377561063243;0,38794141189778286;14;0,041777554037774584;0,164202955482509;25;0,04185116203012745;0,45734428694588947;10;0,012119540304018746;0,1364927503358673;26;0,014805255840741861;0,06339260744107697;31;0,05418904263327459;0,44594774844403756;10;0,050560623555819056;1,1327767886908797;2;0,0030143585932755857;0,41950982681038845;10
