feature;true_parent;Scratch_mean_shap;Scratch_mean_abs_shap;Scratch_rank;Asymmetric_PC_mean_shap;Asymmetric_PC_mean_abs_shap;Asymmetric_PC_rank;Causal_PC_mean_shap;Causal_PC_mean_abs_shap;Causal_PC_rank;Flow_PC_mean_shap;Flow_PC_mean_abs_shap;Flow_PC_rank;Asymmetric_LiNGAM_mean_shap;Asymmetric_LiNGAM_mean_abs_shap;Asymmetric_LiNGAM_rank;Causal_LiNGAM_mean_shap;Causal_LiNGAM_mean_abs_shap;Causal_LiNGAM_rank;Flow_LiNGAM_mean_shap;Flow_LiNGAM_mean_abs_shap;Flow_LiNGAM_rank
X17;False;-0,2897983864879632;1,196629370223865;1;-0,2713005247661185;1,2216737151960222;1;-0,2834535617928472;0,7322144017389978;7;-0,03308587361512396;0,6337440313149671;6;-0,2279369531006919;1,2149999157353077;1;-0,12564567010848984;0,6062274862468952;10;-0,013768134943059293;0,270860764567207;11
X27;True;0,08237063077403876;1,027276629535965;2;0,08655957924020749;1,0313335050325652;3;0,12128345743849547;0,9539667259438558;2;-0,14118102618852257;1,2993910156205228;1;-0,06236137084856125;1,0335665612229854;2;0,18468329562739702;2,0181385488019203;1;-0,08548866575987989;0,503513448510343;5
X36;True;0,015293356108383407;1,0216645927521362;3;0,060560556117873546;0,9719387493543102;4;0,011540766261587811;0,8174179445426931;6;-0,05376962379649147;1,1949507493028257;2;-0,0373039351890603;1,0331997871267178;3;-0,024511839238581166;0,824439423500208;5;-0,017169591126101072;0,2029967609342421;16
X14;True;-0,1763445471483793;0,9516388931630176;4;-0,2324022243313316;1,0433750382756815;2;-0,06796719790115209;0,5591297681089555;11;-0,055799361057938375;0,2933247913569958;18;-0,09666250218947774;0,8695113536264658;5;-0,25812249846307234;1,4230942435337248;2;-0,09185449851989519;0,8699030463608992;1
X26;True;-0,008960890250471767;0,8580077146494237;5;-0,011174089253009112;0,8884113389450629;5;-0,029798327860145423;0,8470884415033896;3;0,03582476287697403;0,5677743893258478;7;-0,02751983898952537;0,8830601453719357;4;-0,01311114450263565;0,6703314521330622;7;0,0001299656536183155;0,07757533010910532;40
X33;True;-0,0972839928253349;0,7407388911496204;6;-0,06111168893873311;0,7069589775042333;7;-0,06320582671021013;0,8257689451033322;4;-0,09081628940613312;0,7690498441094092;4;-0,010132934168225902;0,822373906562646;6;-0,09735263006861407;0,6601681069998436;8;-0,007420889906668056;0,09007422298886639;35
X39;True;-0,19836234521004953;0,7103465602814372;7;-0,2144329710292903;0,714501540433362;6;-0,179752834460569;0,5512179215919902;12;-0,08512331166055809;0,4967305696698832;11;-0,16986358924518452;0,7248181239526145;7;-0,05646840676638323;0,3897465035693583;18;-0,029255855881116236;0,1296968946329737;27
X20;True;0,023649001511992417;0,6025077195550863;8;0,019230038555179633;0,6141676730909296;8;0,0845155288777815;0,38485397742441896;18;-0,011150219645867914;0,17054038774776686;29;-0,04835418483422867;0,597341618405136;8;0,05352431517158664;0,7079110642447931;6;-0,0219569415501736;0,2679712410510368;12
X5;True;-0,039781992190443705;0,5315860168285303;9;-0,10499278278985112;0,5435449490492398;9;-0,06343543963210832;0,6702926033557921;8;-0,0022891450758213967;0,3044485782851811;16;0,04175204441070191;0,5404794415586991;9;-0,06609410243016452;0,4910478291995716;14;-0,0034887898289622963;0,07865264907014796;39
X48;True;-0,03045474781092436;0,5143083770902327;10;-0,006731604256500139;0,5171352222346358;11;-0,009121058212592974;0,6281622383820313;9;-0,011067213877063537;0,21949934460339787;23;0,009934984120371894;0,5277781161861754;11;0,005666015050485229;0,5597701204861264;12;0,0001507506862519714;0,08610456577805156;36
X15;True;-0,005449467279155585;0,5088681046419252;11;0,038265456468077955;0,5054596844738538;12;-0,015869866860860025;0,4778841954208331;13;0,01988635556205938;0,512163222007955;9;0,010576935164689862;0,5039660816283497;12;0,011941475962957587;0,38786863691034;19;0,009705004597388968;0,14761313070815707;24
X9;False;-0,08699220838505196;0,4880920618763291;12;-0,0994364261945706;0,5288422065397661;10;-0,06901542114333074;0,3504660844144159;21;-0,03794200310406119;0,13205807438400194;31;-0,11323015761371998;0,5395893081217142;10;-0,04095002644402761;0,4813793635418899;15;-0,037212310618306516;0,16220076836321126;20
X38;True;0,02700529489590808;0,4320217107042651;13;0,009143625133401403;0,43034790992574573;13;0,03965215165069411;0,23162178317004117;26;0,015322451638144153;0,2577259352879651;20;0,03940272035999055;0,4396075431237669;13;0,05381443338398739;0,23482428870421126;29;-0,0316811695010735;0,1699580343031408;18
X43;True;0,11035397644716508;0,39190063443522527;14;0,12045869608931013;0,41501702235357046;14;0,10476216565350566;0,41278210158195583;16;0,04202116236162146;0,12199380353536174;32;0,07825423312263399;0,39666661598104563;14;0,09820877604773497;0,3969768599518233;17;0,01817900415794935;0,04902238992113024;46
X40;True;0,011272781443286228;0,34747687433203694;15;-0,019848341558965314;0,35822680068441476;15;0,03980810005196187;0,36776568655753167;20;-0,09536743801896322;0,517793777264107;8;-0,010214966738259106;0,35505752903572807;15;0,013509893848177605;0,35198863211629694;21;-0,028478929347854523;0,16485951318988284;19
X0;False;-0,06940937263765927;0,34498104629289306;16;-0,0777990839355219;0,33547102949585184;16;-0,10234385142045996;0,6054138822983463;10;-0,06482684685815211;0,8575981755568668;3;-0,0909063698606181;0,3398004408621684;16;-0,11859893858575246;1,0910225134372218;3;-0,09391362809573818;0,5830144518848615;4
X7;True;-0,07478108784490599;0,30495767177359034;17;-0,050532073621996784;0,3006168011461725;17;-0,03273448626116392;0,17415510301538234;32;-0,04171194480796396;0,24483204821047228;21;-0,05165188565412895;0,29215908861032314;17;-0,06912009814105535;0,24459594244603639;28;-0,07325783812746547;0,36914316583697343;6
X42;True;0,03270759032137161;0,28549503053665837;18;0,028681292789978993;0,2771607589973193;18;0,022010859481755577;0,38004511920331924;19;0,012658491244991148;0,4281735759446024;13;0,0040600095287109264;0,2795191651572831;18;0,07092524726538695;0,42035597945305236;16;-0,011297978851178591;0,14287893098277096;25
X13;True;-0,035014541429630605;0,27531388282259933;19;-0,03778350901424346;0,2696023400014479;19;-0,023890441189501323;0,19010444330618292;29;0,027684326070810724;0,1123427219445809;33;-0,009142158391123865;0,2694846048767078;19;-0,018404346064787202;0,32450901604273086;22;0,009022013240134326;0,07279842807598773;41
X49;False;0,034354431516164616;0,23857075298802427;20;0,044096685292222784;0,2361492191773474;20;0,008752330574017109;0,18430297770491103;30;-0,009273707647032971;0,27831634065310046;19;0,02320504072655193;0,23357377477359395;22;0,0516070696345406;0,22219980878391696;30;0,01593454580758653;0,2596615578386301;14
X12;True;-0,00021027900930621678;0,2341867175457603;21;0,002559532267209287;0,22958574755504363;22;-0,010285129767258056;0,24534700328355727;23;-0,07502411812450589;0,4002390392187809;14;-0,00189141650740008;0,23305352227914233;23;0,014761627559719537;0,10313345184518903;45;-0,017407664571907552;0,139953364642429;26
X3;True;-0,016460776545326967;0,2281367044490433;22;-0,027450700447687017;0,23275006015509572;21;-0,0026356054817103726;0,23837704975804705;24;0,003784227483447212;0,09361732610730705;35;-0,02381166991572224;0,2353596920760026;21;-0,0241321121390259;0,24964374812591472;27;-0,010489927733477799;0,09944690456842085;32
X6;True;-0,03533920250483061;0,22711806358659842;23;-0,027639367629749532;0,22584906568018318;23;-0,013740243606615939;0,17433417732674095;31;-0,013080408390741278;0,06295028966712397;40;-0,02491292881024535;0,24194909940938403;20;-0,0371829399773731;0,25956165952011084;26;-0,005838927404140255;0,027569387262698787;49
X8;True;0,028455546844445442;0,19243792787001027;24;0,07402619428327745;0,19026356184496432;24;-0,1100136410461598;0,8184890745220198;5;-0,009964332024042155;0,1980292161718176;26;-0,016404981558351142;0,19583501245989315;24;0,033522387862814924;0,16235180205235442;36;-0,007975283316754359;0,1085521509791716;31
X35;False;0,02390931458292671;0,16643930575261176;25;-0,01688561162065304;0,18875447411007984;25;-0,021647529522900156;0,23530476225358782;25;-0,005145824607780059;0,09078153580622254;36;0,05289149642981985;0,16807090045049575;25;-0,10836940216140821;0,9649820184228523;4;-0,09406257969123694;0,8572134549560686;2
X30;False;0,02874952519359495;0,14851708798980018;26;0,05885363823804748;0,15140997087388194;27;0,055793815156471124;0,19873396721502082;27;0,06385974696447161;0,17925520233674364;27;-0,010569493401531621;0,15274515585512208;26;0,019023716085973353;0,19178766258676483;31;-0,0027318662501048794;0,3237273782329695;10
X32;False;0,002877480746235053;0,1463017336494192;27;-0,004788781514492279;0,1578044982118776;26;-0,007451189100199589;0,1544918062532107;33;0,007109742469378579;0,04611409814894425;42;-0,009823672570864478;0,14770001857031242;27;-0,00595024397474655;0,15864022445542136;37;0,0028803029474497983;0,01675288948674331;50
X47;True;0,030108406751936;0,14126656946661081;28;0,02181114775790846;0,1436142008338113;29;-0,006768962181620858;0,14061289265717447;35;0,057617486213971204;0,1785894948846954;28;0,05446767416423457;0,14614626635609645;28;0,02175936223403788;0,18405152331921126;33;0,0007242301328292355;0,031498160189370364;48
X10;False;0,018879888956076774;0,13019191471615957;29;0,025606798731950053;0,1348862712126153;30;0,028669688575594317;0,1467145633778597;34;0,013477638941389503;0,3584010299403166;15;0,024944890574523572;0,14041126903056303;29;0,005430854257037877;0,11203799420473187;42;-0,03320245525244808;0,24172302907720428;15
X19;True;0,009659453902648689;0,11641210208040899;30;0,025612066154485556;0,14697098693906221;28;-0,027351297371136004;0,4516778019407937;14;-0,04656273480867999;0,20380369234522797;24;-0,017318428502286;0,10056357269610361;33;-0,03218801943430525;0,5023414455160412;13;-0,004910549988096253;0,36723628986087126;7
X4;False;-0,03878428401812868;0,11385655155450225;31;-0,033482692835945;0,12151303002035982;31;-0,01090410197151709;0,11698590843393618;43;-0,013908821608500129;0,0774094100189052;38;-0,019431063593325824;0,11485462036193556;31;0,002717177587765784;0,0415687053537898;50;0,004324665639546797;0,09044591251525473;34
X45;False;0,009764161805528013;0,11093835314349425;32;-0,015634191177978526;0,11519175301389618;32;0,033150690886251985;0,13065594697445063;38;0,010225667947188438;0,06642822042475985;39;-0,02360954354979914;0,11566228428477317;30;0,026766786838810466;0,10266922090916025;46;0,01882452397467962;0,05199513149954133;44
X31;False;0,00198533070642282;0,08913598966453737;33;-0,003117850236264268;0,0961440832906994;34;0,042350701665741106;0,12642211735270587;39;-0,019790546085979414;0,3036444013206247;17;0,004560536957537008;0,10354857718137779;32;0,0022344439684618034;0,06454527851684153;49;-0,0006028535710415664;0,051747231107845675;45
X22;False;-0,0008766157371786124;0,07185262231892967;34;0,004855334552772096;0,086612576531821;35;0,022415445052768598;0,12063416368173505;42;-0,0007968600497856595;0,01866624839669963;46;0,0015005844720001249;0,07216341352621317;35;-0,014335199351143574;0,13839929143453092;39;0,019142733805245653;0,11668263258852839;29
X1;False;0,0024161629413571133;0,07180738924947018;35;0,0012058059614424544;0,11060311068656738;33;0,009925193505724935;0,06549036356196927;48;-0,0059791054741993995;0,034145177440679346;43;0,036278770037927385;0,07764227309315373;34;0,02618854141844478;0,30840868463681786;23;-0,056857708853885885;0,60830941951799;3
X37;False;0,008182661254807091;0,06316846247726021;36;-0,0036264646852808263;0,07249567251462408;36;-0,011773572703795192;0,09950571900638933;47;0,0002750519347924245;0,033313981693222756;44;0,017052270361837926;0,05944487819526592;36;-0,003383528201716982;0,10764286203346199;43;-0,014143597242470694;0,12618849748401703;28
X28;True;0,017553494950316537;0,05881505312935316;37;0,01673909611287745;0,05976422647172046;37;0,019645775023839712;0,10695050892630203;45;-0,023894172310456773;0,4797624896000518;12;0,016317866288900043;0,05567230855557203;38;0,008349888167855752;0,13520084236087584;40;-0,0208880373730296;0,11271901860220795;30
X2;False;0,006132857558084297;0,051652313123551175;38;0,017241858126508188;0,057630376434126614;38;-0,22818065233693446;1,568156688635822;1;-0,12007048787366431;0,754881228460693;5;0,014382902373272817;0,05889399521846648;37;-0,035753530110890996;0,2983331339291116;24;0,005462071057882973;0,0985363106764615;33
