feature,importance
X42,1.884279691778799
X35,1.0998583517924039
X23,0.943831457751247
X26,0.9068148001946377
X16,0.8380673225879863
X5,0.5741000293944951
X19,0.5499634687300471
X39,0.4895242847019712
X1,0.47836956899729466
X25,0.441460188253525
X44,0.43628705508390636
X33,0.3664578841396476
X12,0.33139566740615206
X18,0.30136766768037065
X31,0.2828807668589041
X2,0.263953943521005
X43,0.2213284851163325
X7,0.20953575232180138
X49,0.19408635998248208
X9,0.165221630216842
X6,0.10521889285763414
X17,0.0957897704308464
X32,0.08604274742719452
X38,0.08189604198963284
X22,0.08006423077797932
X21,0.07300567655793185
X47,0.056390889475827134
X41,0.055000850808088766
X34,0.04465297553255563
X3,0.04423229875298249
X24,0.04420660834066562
X13,0.03979002295920607
X8,0.038927320366996324
X20,0.034978961883754406
X45,0.03031083595737615
X11,0.026193113193978674
X40,0.025860607022436123
X10,0.02454211779508698
X14,0.02252577991939672
X27,0.022342845807421362
X0,0.021046873281359627
X28,0.020288412062135486
X30,0.0189217202591093
X4,0.01626464493238345
X29,0.014564096557209168
X46,0.01268018636578996
X15,0.010353621718776239
X48,0.010112462036798933
X37,0.0097187402156899
X36,0.00956709723937724
