feature;true_parent;Scratch_mean_shap;Scratch_mean_abs_shap;Scratch_rank;Asymmetric_PC_mean_shap;Asymmetric_PC_mean_abs_shap;Asymmetric_PC_rank;Causal_PC_mean_shap;Causal_PC_mean_abs_shap;Causal_PC_rank;Flow_PC_mean_shap;Flow_PC_mean_abs_shap;Flow_PC_rank;Asymmetric_LiNGAM_mean_shap;Asymmetric_LiNGAM_mean_abs_shap;Asymmetric_LiNGAM_rank;Causal_LiNGAM_mean_shap;Causal_LiNGAM_mean_abs_shap;Causal_LiNGAM_rank;Flow_LiNGAM_mean_shap;Flow_LiNGAM_mean_abs_shap;Flow_LiNGAM_rank
X42;True;0,006645491885583733;1,1239332654119525;1;-0,008911140806638487;1,096639453850615;1;-0,033197281094671065;1,1708015476343054;5;-0,31353712384903054;1,6925820979103687;1;0,04270387077586157;1,2001173309939797;1;-0,08154619142617113;0,5345090010139673;9;-0,025341275897313494;0,17683884073583558;29
X35;True;0,018416308145973864;1,0152021327059992;2;-0,05748392160230125;1,0016308647823835;4;-0,018000675701259943;1,2135128239275481;3;-0,003259186685699189;1,2877973649982977;4;0,09688982465745805;1,0090610596531033;3;0,09147960205462562;0,4004813152799677;14;0,05712466268783259;0,318353056722324;16
X23;True;-0,07070232488819564;1,0151894913161876;3;-0,167908067579006;1,009856226579294;3;-0,08058124743531067;1,189095940682754;4;-0,020138363267927836;1,6265351806170623;2;-0,028549391703082336;1,006246362607171;4;0,013299469000560966;0,49588648889467807;11;0,004034587978969726;0,36476652328312525;15
X16;True;-0,08964032313618796;1,0116563969255965;4;0,02386713084870135;1,046989166615464;2;0,018980642820148965;0,6268806085074182;10;-0,05639660486041312;0,34483553242321263;21;-0,06917904899850744;1,0138702445945984;2;0,04023257392608577;0,31464810154310685;22;-0,03923991135092809;0,16160422406112723;34
X33;True;-0,04318789349407393;0,9851573034691578;5;-0,06247610918837733;0,9433685251370441;5;-0,07925810578007175;0,9874190125448762;6;-0,2328238827438826;1,5028381293159887;3;-0,09289959212024552;0,9735372316545426;5;-0,18720972435390604;1,3235370265798876;2;0,013515592494649405;0,2700153043650675;21
X25;True;-0,00564888403576095;0,917002431064042;6;-0,07105511331146083;0,9308472101442917;6;0,11033264001384659;0,8245900038943474;7;-0,0516759233659335;0,6902723841896556;7;-0,12686255157210316;0,9295594049340147;6;0,03650548441992517;0,7144525105951256;6;0,036926810641191174;0,37906984732075005;13
X19;True;-0,18877390677023367;0,7566884355065301;7;-0,182681211964083;0,7610922136041316;7;-0,22125599376743757;0,7446973027692851;9;-0,05156935735444627;0,35767808004970425;20;-0,19619876107507506;0,7813334749934044;7;-0,0419927309515039;0,4496295455957055;13;-0,022059082043984456;0,20241369985421;25
X1;True;0,07405491503693157;0,7549477618520035;8;0,08034098365374437;0,7552268049157921;8;0,055377299236521974;0,4328753060496907;15;-0,04151002409657108;0,601734144813624;9;0,10836352522477379;0,7540917761737691;8;0,05635328277618177;0,4952072031598916;12;-0,08869360288455841;1,1910418119365334;1
X7;True;-0,06682309190225955;0,6301651702603348;9;-0,06534226159037389;0,6374194968777621;9;0,0052324230355315846;0,3760738538700793;19;-0,03448379242759908;0,4184985642407399;17;-0,09576270909105312;0,6231164275057347;9;0,01963643411843593;0,3424701839284394;18;-0,024144465351119793;0,42209105225777804;10
X44;True;0,0519503565579086;0,5545271486985414;10;0,06027881155244791;0,551723312034549;10;0,00648339022024995;0,5347653567304937;12;0,0683099625678518;0,7324533220842758;6;0,04151569792616625;0,5477160608256681;10;-0,0013487477424467776;0,5628470388885949;8;0,06665743350285744;0,751294029878398;4
X31;True;0,04349881136096173;0,5395827108441511;11;0,029496612563298927;0,5253190603462828;12;0,042680005879163305;0,4067086664536793;17;0,04659047799089307;0,5408317392223765;11;0,03804941997550873;0,537001034986361;11;-0,09038805405482797;1,2149964516469276;4;-0,018701668728205008;0,7454054308129323;5
X45;True;-0,09569156625203068;0,5381940562835565;12;-0,03513590437772526;0,5414230007413622;11;-0,08073912965053134;0,38924879511071403;18;0,004849613273750245;0,5040396532759429;13;-0,06183004047819174;0,5230664110065366;12;0,01361553631676552;0,23001662374706178;28;0,004620842274677988;0,5039975230389662;7
X12;False;-0,05578016609718695;0,4315781718318189;13;-0,08413646043809189;0,4067807738323814;14;-0,07138223481783255;0,5647445024418067;11;-0,02205612180379793;0,559948317837879;10;-0,014570536614893074;0,42649804774201067;14;-0,2732363430528328;1,9679005917524717;1;-0,11232118183663899;0,9105970528286923;2
