feature,importance
X28,0.20542579881802048
X44,0.14746808235887138
X13,0.12658191556788845
X37,0.12245850591492373
X35,0.10462819550849785
X49,0.10271429407369276
X30,0.08618514994594798
X48,0.07542549784639792
X32,0.07102407535814954
X27,0.06102274990099752
X23,0.0556980263150024
X33,0.04819945985214097
X42,0.04747996556233067
X38,0.04453670423794627
X4,0.038282768396669845
X20,0.0344984481961087
X6,0.032866304874055334
X2,0.031835274943113584
X29,0.023505018016913813
X14,0.019933963734594363
X24,0.018794760212541405
X19,0.015039711441494083
X45,0.014102078014245473
X8,0.014076380841856272
X31,0.01376644313553
X21,0.012014039057321253
X15,0.01157199878721256
X46,0.010810661075179823
X22,0.010585783673613083
X5,0.01042193301201374
X25,0.00918214474269928
X26,0.004374783275243025
X10,0.0021550891306784973
X18,0.0010888603227273339
X34,0.000960039693916766
X11,0.0
X3,0.0
X47,0.0
X7,0.0
X9,0.0
X43,0.0
X40,0.0
X41,0.0
X1,0.0
X39,0.0
X12,0.0
X16,0.0
X36,0.0
X17,0.0
X0,0.0
