feature,importance
X45,14.254910473230282
X47,9.246838096995443
X36,8.438876406136405
X10,5.98314885687477
X33,5.776236365816917
X19,4.887504994291242
X23,4.546917975011312
X49,4.304680762090024
X2,3.3803470080758853
X22,3.289888001246222
X11,3.2016246222645286
X21,2.7909628619150926
X46,2.701845206492179
X42,2.698913140346377
X5,2.646563428270679
X44,2.380862776845955
X34,1.9291045719270747
X48,1.800700821356404
X29,1.5243660709711921
X6,1.190980327772379
X8,1.1809781664286014
X30,1.1165608519746415
X15,1.059873994843743
X17,0.9131123209956202
X16,0.901254537354241
X25,0.9006527901281076
X20,0.8875795520811568
X26,0.8724898572540961
X18,0.8116900015375664
X35,0.7041830438979363
X28,0.6585485861858211
X4,0.6244026765375104
X27,0.5961949342548195
X31,0.4898106715328307
X40,0.42942937776616347
X32,0.42021220890977085
X14,0.2848823603044213
X13,0.1706354601047566
X38,0.1524221673576283
X39,0.0
X37,0.0
X41,0.0
X24,0.0
X43,0.0
X12,0.0
X9,0.0
X7,0.0
X1,0.0
X3,0.0
X0,0.0
