feature,importance
X3,0.1013819405245543
X45,0.07800471843577066
X11,0.07392118614726832
X30,0.06882634318014305
X49,0.0680586436397145
X43,0.06361979272323647
X40,0.054768174332851596
X46,0.04908051745611486
X8,0.04050180409923592
X26,0.03764446282088324
X22,0.03669082768952968
X24,0.035637722881403315
X37,0.03423701424522485
X33,0.031731669266326916
X25,0.029290531991040168
X17,0.02571809675337902
X42,0.024776828692900967
X19,0.021217522676766746
X44,0.02030668452119442
X48,0.01725626857015798
X39,0.01700100788202688
X12,0.01681754132755865
X20,0.016280360993354483
X35,0.015428073818536316
X13,0.01469988372329575
X5,0.01065594245475419
X47,0.010615305756915393
X6,0.010351273384231904
X31,0.00985681515698303
X29,0.009452843593855093
X21,0.009090915849088086
X2,0.00894173209023972
X10,0.008871467907403771
X28,0.008201159165778167
X34,0.006933273238130141
X32,0.006166231313347297
X15,0.0056635778651844115
X4,0.0055565695369616105
X41,0.005324179105953597
X18,0.003706198593084694
X14,0.003435527422323319
X38,0.0022016409168477886
X7,0.0015873782019307748
X0,0.0004852781728220656
X36,0.0
X9,0.0
X16,0.0
X27,0.0
X1,0.0
X23,0.0
