feature,importance
X30,0.06988727422891096
X11,0.027772119922521245
X43,0.019045446648763755
X42,0.009609147037004733
X6,0.005172569896408823
X13,0.0013014030081467355
X27,0.0007927388356474694
X19,0.0007344265247993463
X44,0.0005707351903467498
X21,0.0005479154662694782
X20,0.0004920380040661258
X14,0.00013220371544521184
X41,0.00012034804433569659
X24,6.313348951443914e-05
X35,6.283427009766456e-05
X2,2.0896619593258943e-05
X9,9.71148704411462e-06
X1,9.626396314706652e-06
X33,4.40679564489983e-06
X15,2.5873685255646708e-06
X5,2.0803954452276226e-06
X22,8.553482592105866e-07
X37,0.0
X36,0.0
X38,0.0
X0,0.0
X39,0.0
X40,0.0
X45,0.0
X46,0.0
X47,0.0
X48,0.0
X34,0.0
X25,0.0
X32,0.0
X31,0.0
X29,0.0
X28,0.0
X26,0.0
X23,0.0
X18,0.0
X17,0.0
X16,0.0
X12,0.0
X10,0.0
X8,0.0
X7,0.0
X4,0.0
X3,0.0
X49,0.0
