feature,importance
X30,0.06815675756055245
X11,0.02653193703917459
X43,0.01726274846684392
X42,0.014623005974063566
X6,0.005024800931181743
X21,0.0019743873651776093
X13,0.0016703779982453859
X27,0.0009411305349625764
X44,0.0008062570169589891
X20,0.000746363631740678
X19,0.000556491447544249
X24,0.00030766329448415485
X41,0.00019763507753086743
X35,0.00011833039195917086
X2,7.41341520802962e-05
X14,6.952309800362857e-05
X9,4.5875646144850173e-05
X1,1.9236964847732455e-05
X33,9.979305928573013e-06
X22,9.680713154375554e-06
X15,3.363219602033495e-06
X5,2.4307645857334135e-06
X12,2.902509178966284e-07
X34,0.0
X40,0.0
X45,0.0
X46,0.0
X39,0.0
X38,0.0
X37,0.0
X47,0.0
X36,0.0
X48,0.0
X0,0.0
X25,0.0
X32,0.0
X31,0.0
X29,0.0
X28,0.0
X26,0.0
X23,0.0
X18,0.0
X17,0.0
X16,0.0
X10,0.0
X8,0.0
X7,0.0
X4,0.0
X3,0.0
X49,0.0
