feature,importance
X30,0.10074610721028876
X24,0.016547360165731512
X34,0.0006652306412928738
X2,0.0003895755133242345
X46,0.00012984750606119633
X49,0.00011265602997737006
X37,0.0
X28,0.0
X29,0.0
X31,0.0
X32,0.0
X33,0.0
X35,0.0
X36,0.0
X38,0.0
X26,0.0
X39,0.0
X40,0.0
X41,0.0
X42,0.0
X43,0.0
X44,0.0
X45,0.0
X47,0.0
X48,0.0
X27,0.0
X0,0.0
X1,0.0
X12,0.0
X3,0.0
X4,0.0
X5,0.0
X6,0.0
X7,0.0
X8,0.0
X9,0.0
X10,0.0
X11,0.0
X13,0.0
X23,0.0
X14,0.0
X15,0.0
X16,0.0
X17,0.0
X18,0.0
X19,0.0
X20,0.0
X21,0.0
X22,0.0
X25,0.0
