feature,importance
X11,0.3012923501123454
X46,0.29988236255444684
X40,0.2880247439542857
X49,0.26282081332160934
X45,0.24292793869151896
X3,0.1674903696520927
X8,0.10239598775023068
X22,0.09670620848129072
X25,0.08791851695471496
X35,0.08707214298919563
X48,0.07734467049866485
X33,0.06481495977301818
X30,0.03873926335474405
X20,0.030362517091340416
X0,0.02748756326158517
X15,0.023660576977585855
X13,0.021438398551447548
X39,0.019754084335430057
X43,0.01948907845257889
X18,0.017800952636764754
X27,0.017465470640355023
X26,0.012676316709217168
X17,0.011974772274209238
X29,0.010867296490267875
X6,0.009427615859758095
X42,0.008976992538784838
X16,0.008326910070742587
X38,0.006897742816642526
X28,0.006174763218099986
X44,0.0057301626758276825
X47,0.005581414694139536
X41,0.005290298628667402
X4,0.0050345306719967245
X24,0.0040962726730052945
X37,0.004077625176448745
X34,0.0
X36,0.0
X1,0.0
X19,0.0
X14,0.0
X5,0.0
X32,0.0
X31,0.0
X12,0.0
X21,0.0
X10,0.0
X2,0.0
X23,0.0
X7,0.0
X9,0.0
