feature,importance
X3,0.10313387920344957
X45,0.0809529485660545
X49,0.07520629882300013
X30,0.07339831424262715
X43,0.07241818197026814
X11,0.06905334787258828
X40,0.05407666448631753
X46,0.04479460049955418
X8,0.04089581814437306
X22,0.0370285828579289
X24,0.03664323789317674
X42,0.035185339600111866
X37,0.03374119733096324
X33,0.031673687996702324
X26,0.029872814603538776
X17,0.025579655614267793
X19,0.02487664863303615
X25,0.022984756223688573
X44,0.022400481611492887
X20,0.02136564826167504
X13,0.0198536841379589
X35,0.01864585871471227
X48,0.017406112879307142
X39,0.016286554192512386
X31,0.015366704105540308
X12,0.014755581522316132
X47,0.012417959642573903
X2,0.01065556407420234
X5,0.010572501153537125
X6,0.010301745760383901
X29,0.00987627417107596
X10,0.009836779367536824
X21,0.008451538592518057
X34,0.007919091110271977
X28,0.007053344846415911
X41,0.007046412751560486
X32,0.006810891153016719
X4,0.006109739379838819
X15,0.004827870971427867
X14,0.0036686402070974524
X18,0.003432373421622545
X38,0.001917686487425489
X7,0.0017191821681560712
X0,0.0008235023538798675
X9,0.0
X36,0.0
X16,0.0
X27,0.0
X1,0.0
X23,0.0
