feature;Scratch_mean_shap;Scratch_mean_abs_shap;Scratch_rank;Asymmetric_PC_mean_shap;Asymmetric_PC_mean_abs_shap;Asymmetric_PC_rank;Causal_PC_mean_shap;Causal_PC_mean_abs_shap;Causal_PC_rank;Flow_PC_mean_shap;Flow_PC_mean_abs_shap;Flow_PC_rank;Asymmetric_LiNGAM_mean_shap;Asymmetric_LiNGAM_mean_abs_shap;Asymmetric_LiNGAM_rank;Causal_LiNGAM_mean_shap;Causal_LiNGAM_mean_abs_shap;Causal_LiNGAM_rank;Flow_LiNGAM_mean_shap;Flow_LiNGAM_mean_abs_shap;Flow_LiNGAM_rank;Asymmetric_True_mean_shap;Asymmetric_True_mean_abs_shap;Asymmetric_True_rank;Causal_True_mean_shap;Causal_True_mean_abs_shap;Causal_True_rank;Flow_True_mean_shap;Flow_True_mean_abs_shap;Flow_True_rank
erk;-14,322513418635902;40,43124275911585;1;-24,581740881217613;42,353179883300776;1;-16,37177655719502;45,447477315149314;1;-7,374163617425872;46,21355791377155;1;-8,227121845369027;39,58306632345599;1;-5,656564955777737;33,00399953453619;1;-0,8079417274891649;9,82993338752184;4;-4,237653347376925;38,145085742538456;1;-4,984767582810662;38,726862299504646;1;-3,050951444113392;14,794081518312407;3
pka;-4,614742583686189;17,209087988159055;2;-1,9066671155609693;19,56243229267956;2;-5,350653649580026;15,018429762551364;2;0,9714189797028427;5,123798237482894;5;-12,00005568052534;19,276860883951585;2;-13,563601455767264;26,583371648577412;2;-0,6370704508285844;28,947871301208078;1;-8,69360630200698;18,650518740578267;2;-12,712222814518782;21,686333197210676;2;-2,388254376097963;23,82292762321082;1
mek;-3,179536245361409;10,287468279801883;3;-0,03933539658975373;9,223953405814433;3;-1,0602911473732872;4,806292820550805;4;-2,345407832459001;10,681679372812425;3;-4,327603234492842;11,607568545793558;3;-0,8356991436775979;4,2033744210293005;6;-2,5600678511279527;11,671643401599422;3;-6,75108276230511;12,658424169805057;3;-0,24728477763696105;5,311401940199773;6;-3,6916634063573355;16,206699371967233;2
plc;-1,2603069569934275;3,6806433508442176;4;1,311440266138608;3,212332953151109;4;0,4341203901998676;1,9472451873811112;8;-0,016146118878178073;0,9821702316718944;8;1,0201784374742564;2,951698315054206;4;0,28011137532101466;1,918277808332079;9;-0,06037229490814975;0,8780346140611838;9;-2,9163191469155016;3,6127367376071424;4;-1,7107109817183597;5,83449149247754;5;0,12799763404882816;2,0976894845149783;7
pip2;0,35934045379074014;1,199397019849644;5;0,5458496533417604;1,0672721243667866;9;1,0285813035497018;2,8209660388958913;7;0,6418793060626733;1,713857689762982;6;0,201900417092044;1,4825786187496677;6;-0,049501848524631846;2,061337678617287;8;0,33399673069785907;0,9272151708768536;8;0,5617811849912175;1,1116274483440023;8;-0,1712527195623931;4,610218485246202;7;0,12031106371418242;0,873661761924049;8
jnk;-0,3388329233069577;1,1516960841946702;6;-0,20783494059719526;1,5356879047297296;5;-0,12901367592958388;1,209102257461622;10;-0,06754807584718037;0,4925256006551203;9;-0,19244875607405512;1,4923562784627118;5;-0,044584699025593845;1,1736642678029987;10;-0,02567369655463672;0,21087929697119343;10;-0,35632325653410346;1,6023752272528262;5;-0,21741977665420706;3,0016018432874647;9;-0,08054832690039639;0,46533639692808726;10
p38;-0,1320955067782646;1,148571328651678;7;0,5391286069723842;1,3060034907203717;8;0,45315879837702006;2,982084192547731;6;0,9434662873834964;6,16982293281548;4;-0,004964725517972746;1,2195564718993497;7;-1,2645619645066621;17,387473565064365;3;-2,950329585067131;12,374407104856273;2;-1,0454070287700272;1,5361975333162792;6;-0,02387698058030358;2,411086247103274;10;0,1472514739375632;0,5688630135601735;9
raf;0,232166771606312;1,0565255841168255;8;0,7878813140004152;1,317522939422233;7;-1,8842954600240973;11,623107897624962;3;-1,9870148945916433;10,702327398701257;2;0,35948556140524696;1,1601955240703767;8;-1,6147880504377197;4,233536877160534;5;-1,8192888747890743;4,475165526728766;6;-0,055304474060196285;1,2633959014690388;7;-2,1267738981561433;6,580034184480313;4;-0,7142856247936998;2,960022302733617;5
pkc;-0,14610311783999633;0,949944239419677;9;0,38331842029592506;1,0563737963750455;10;-0,2439262446243551;4,695173055438252;5;-0,197760127911496;1,2448663895338214;7;-0,3005742571011945;0,8945631353527068;9;-0,20145144351239355;5,858140890796909;4;-0,9557857020562567;9,217085942706357;5;-0,06170129451076346;0,7686091613268994;9;-0,049048878574169265;7,527850554787275;3;-0,004709645960886437;12,683231857104767;4
pip3;-0,11216865632655175;0,7899205623258518;10;-0,3468321103152017;1,3948036834260096;6;-0,3906959409318619;1,3546216824992225;9;-0,00024243664834623424;0,2926172452714799;10;-0,04358810042275408;0,5865410341616604;10;-0,5641499976230617;2,663735635818368;7;0,051014921510384476;0,9438047585390896;7;0,040824243956750765;0,5079882269498981;10;-1,271433773319659;3,0377251159011673;8;0,10333412191039043;2,2677158221853144;6
