dataset,model,causal_discovery,shapley_method,importance_ratio_true,mean_shap_true_parents,mean_shap_non_parents,true_parents_in_top5,total_true_parents,importance_ratio_discovered,mean_shap_discovered,discovered_parents_in_top5,total_discovered_parents,true_parent_features,discovered_parent_features,true_parent_recall,dataset_type
linear_no_conf_f10_s500_p50,LGBM,PC,Scratch,2.754222358498864,0.5539262585580615,0.2011189317553752,3,5,0.9254121500795411,0.35736042010221586,2,3,"[0, 4, 6, 8, 9]","[0, 3, 7]",0.6,linear_no
linear_no_conf_f10_s500_p50,LGBM,PC,Asymmetric,2.6823612046305647,0.5503159483695693,0.20516101538434048,3,5,0.8899549595831626,0.3476472935113901,2,3,"[0, 4, 6, 8, 9]","[0, 3, 7]",0.6,linear_no
linear_no_conf_f10_s500_p50,LGBM,PC,Causal,3.651833570851089,0.5846458683010392,0.16009652602125096,3,5,1.1579951439554215,0.41169050775034394,2,3,"[0, 4, 6, 8, 9]","[0, 3, 7]",0.6,linear_no
linear_no_conf_f10_s500_p50,LGBM,PC,Flow,5.572364402682384,0.8983460637009617,0.16121452202022582,5,5,0.32760610950903074,0.21741602213141864,1,3,"[0, 4, 6, 8, 9]","[0, 3, 7]",1.0,linear_no
linear_no_conf_f10_s500_p50,LGBM,LINGAM,Scratch,2.754222358498864,0.5539262585580615,0.2011189317553752,3,5,0.16508805890812692,0.06800204430966071,0,1,"[0, 4, 6, 8, 9]",[4],0.6,linear_no
linear_no_conf_f10_s500_p50,LGBM,LINGAM,Asymmetric,2.646753005194933,0.5429439640851191,0.20513586383748392,3,5,0.1554301024873663,0.06350008848363768,0,1,"[0, 4, 6, 8, 9]",[4],0.6,linear_no
linear_no_conf_f10_s500_p50,LGBM,LINGAM,Causal,4.826670296525463,0.6941609167228849,0.14381776132970697,5,5,1.1288595517792328,0.46696285503378104,1,1,"[0, 4, 6, 8, 9]",[4],1.0,linear_no
linear_no_conf_f10_s500_p50,LGBM,LINGAM,Flow,0.5807729262649609,1.2542061729573803,2.159546556385421,3,5,0.2369336796297375,0.43782548601218885,0,1,"[0, 4, 6, 8, 9]",[4],0.6,linear_no
linear_no_conf_f10_s500_p50,NN,PC,Scratch,16.04825292116774,1.3950913017858508,0.08693103907564399,3,5,0.08598155494687149,0.08778420835209828,1,3,"[0, 4, 6, 8, 9]","[0, 3, 7]",0.6,linear_no
linear_no_conf_f10_s500_p50,NN,PC,Asymmetric,15.280590456422443,1.3704189713847328,0.08968363986280024,3,5,0.09423511764691789,0.09446554177282714,1,3,"[0, 4, 6, 8, 9]","[0, 3, 7]",0.6,linear_no
